Date,Open,High,Low,Close,Adj Close,Volume
2021-01-26,94.519997,94.629997,93.860001,94.059998,87.174583,2051000
2021-01-27,92.930000,93.040001,91.430000,91.739998,85.024414,2003500
2021-01-28,92.339996,93.449997,92.199997,92.690002,85.904884,1670600
2021-01-29,92.279999,92.589996,90.620003,90.989998,84.329323,2400900
2021-02-01,91.669998,92.019997,91.010002,91.669998,84.959541,1716400
2021-02-02,92.410004,93.260002,92.239998,92.730003,85.941963,1861900
2021-02-03,92.709999,93.190002,92.510002,93.040001,86.229263,1363900
2021-02-04,93.040001,94.150002,92.930000,94.150002,87.258003,1176100
2021-02-05,94.739998,94.900002,94.349998,94.529999,87.610176,1102400
2021-02-08,94.830002,95.410004,94.830002,95.410004,88.425774,1117600
2021-02-09,95.199997,95.480003,94.889999,95.360001,88.379425,1147400
2021-02-10,95.750000,95.800003,94.809998,95.419998,88.435028,1380200
2021-02-11,95.459999,95.589996,94.559998,95.230003,88.258949,1357900
2021-02-12,95.000000,95.760002,94.870003,95.750000,88.740875,1126000
2021-02-16,96.199997,96.239998,95.839996,96.019997,88.991104,4199700
2021-02-17,95.879997,96.480003,95.489998,96.440002,89.380363,3763500
2021-02-18,95.949997,96.190002,95.629997,96.050003,89.018913,1135000
2021-02-19,96.260002,96.580002,96.180000,96.330002,89.278412,1080900
2021-02-22,96.019997,96.900002,95.970001,96.690002,89.612068,2032700
2021-02-23,96.820000,97.199997,96.180000,96.940002,89.843781,2747200
2021-02-24,97.000000,98.459999,96.830002,98.260002,91.067139,2574900
2021-02-25,98.260002,98.400002,96.239998,96.589996,89.519379,2447700
2021-02-26,96.709999,96.709999,94.889999,95.150002,88.184807,2495400
2021-03-01,96.400002,97.739998,96.250000,97.230003,90.112541,1743100
2021-03-02,97.239998,97.470001,96.750000,96.849998,89.760345,1523000
2021-03-03,96.809998,97.730003,96.720001,96.800003,89.714005,1846700
2021-03-04,96.699997,97.480003,94.820000,95.959999,88.935516,2911500
2021-03-05,96.879997,98.360001,95.970001,98.120003,90.937393,2937100
2021-03-08,98.570000,100.040001,98.250000,98.959999,91.715904,3806400
2021-03-09,99.160004,99.769997,98.699997,98.790001,91.558350,1664100
2021-03-10,99.040001,100.510002,99.040001,100.239998,92.902191,2154800
2021-03-11,100.389999,100.970001,100.019997,100.220001,92.883667,1794500
2021-03-12,100.620003,101.120003,100.510002,101.099998,93.699242,1686400
2021-03-15,101.180000,101.459999,100.370003,101.410004,93.986557,2487700
2021-03-16,101.120003,101.199997,100.699997,101.050003,93.652901,1518200
2021-03-17,101.099998,101.300003,100.449997,101.290001,93.875336,1351200
2021-03-18,101.169998,102.040001,100.480003,100.669998,93.300713,1540200
2021-03-19,100.529999,100.769997,99.519997,100.320000,92.976341,2396800
2021-03-22,99.550003,99.940002,99.160004,99.720001,93.028572,1990500
2021-03-23,99.330002,99.680000,98.440002,98.699997,92.077019,1621200
2021-03-24,99.080002,99.949997,98.779999,98.790001,92.160988,1961400
